engine_id,name,category,width_studs,length_studs,height_studs,status,priority,num_rebrickable_variants,num_colors_available
BRICK_2X4X3,Brick 2 x 4 x 3,Bricks,2,4,3,ACTIVE,1,298,10
BRICK_1X6,Brick 1 x 6,Bricks,1,6,1.0,ACTIVE,1,236,65
BRICK_1X1,Brick 1 X 1,Bricks,1,1,1.0,ACTIVE,1,180,80
BRICK_1X4,Brick 1 x 4,Bricks,1,4,1.0,ACTIVE,1,180,75
BRICK_1X8,Brick 1 x 8,Bricks,1,8,1.0,ACTIVE,1,166,53
BRICK_1X2,Brick 1 x 2,Bricks,1,2,1.0,ACTIVE,1,140,73
BRICK_1X3,Brick 1 x 3,Bricks,1,3,1.0,ACTIVE,1,93,67
BRICK_2X2,Brick 2 x 2,Bricks,2,2,1.0,ACTIVE,1,89,70
BRICK_2X4,Brick 2 x 4,Bricks,2,4,1.0,ACTIVE,1,88,74
BRICK_1X2X2,Brick 1 x 2 x 2,Bricks,1,2,2,ACTIVE,1,72,17
BRICK_1X2X5,Brick 1 x 2 x 5,Bricks,1,2,5,ACTIVE,1,18,30
BRICK_1X4X3,Brick 1 x 4 x 3,Bricks,1,4,3,ACTIVE,1,18,17
BRICK_2X6X3,Brick 2 x 6 x 3,Bricks,2,6,3,ACTIVE,1,15,6
BRICK_1X6X5,Brick 1 x 6 x 5,Bricks,1,6,5,ACTIVE,1,11,17
BRICK_2X10,Brick 2 x 10,Bricks,2,10,1.0,ACTIVE,1,11,26
BRICK_2X8,Brick 2 x 8,Bricks,2,8,1.0,ACTIVE,1,11,39
BRICK_1X2X3,Brick 1 x 2 x 3,Bricks,1,2,3,ACTIVE,1,9,2
BRICK_2X4_WITHOUT_CROSS_SUPPORTS,Brick 2 x 4 without Cross Supports,Bricks,2,4,1.0,ACTIVE,1,9,4
BRICK_1X10,Brick 1 x 10,Bricks,1,10,1.0,ACTIVE,1,7,30
BRICK_2X2_WITHOUT_INSIDE_RIDGES,Brick 2 x 2 without Inside Ridges,Bricks,2,2,1.0,ACTIVE,1,7,14
BRICK_1X2_WITHOUT_BOTTOM_TUBE,Brick 1 x 2 without Bottom Tube,Bricks,1,2,1.0,ACTIVE,1,6,18
BRICK_2X3,Brick 2 x 3,Bricks,2,3,1.0,ACTIVE,1,5,57
BRICK_2X3_WITHOUT_CROSS_SUPPORTS,Brick 2 x 3 without Cross Supports,Bricks,2,3,1.0,ACTIVE,1,5,0
BRICK_2X2X3,Brick 2 x 2 x 3,Bricks,2,2,3,ACTIVE,1,4,24
BRICK_1X16,Brick 1 x 16,Bricks,1,16,1.0,ACTIVE,1,3,25
BRICK_1X2X5_WITHOUT_SIDE_SUPPORTS,Brick 1 x 2 x 5 without Side Supports,Bricks,1,2,5,ACTIVE,1,3,10
BRICK_1X3X5_WITHOUT_SIDE_SUPPORTS,Brick 1 x 3 x 5 without Side Supports,Bricks,1,3,5,ACTIVE,1,3,3
BRICK_1X5X2,Brick 1 x 5 x 2,Bricks,1,5,2,ACTIVE,1,3,1
BRICK_2X6,Brick 2 x 6,Bricks,2,6,1.0,ACTIVE,1,3,66
BRICK_1X12,Brick 1 x 12,Bricks,1,12,1.0,ACTIVE,1,2,26
BRICK_1X2X2_WITHOUT_BOTTOM_TUBE,Brick 1 x 2 x 2 without Bottom Tube,Bricks,1,2,2,ACTIVE,1,2,0
BRICK_10X20,Brick 10 x 20,Bricks,10,20,1.0,ACTIVE,1,2,0
BRICK_4X4_CORNER,Brick 4 x 4 Corner,Bricks,4,4,1.0,ACTIVE,1,2,0
BRICK_SOFT_2X2,Brick Soft 2 x 2,Bricks,2,2,1.0,ACTIVE,1,2,4
BRICK_SOFT_2X4,Brick Soft 2 x 4,Bricks,2,4,1.0,ACTIVE,1,2,4
PLATE_1X1,Plate 1 x 1,Plates,1,1,0.33,ACTIVE,1,38,81
PLATE_1X3,Plate 1 x 3,Plates,1,3,0.33,ACTIVE,1,25,62
PLATE_1X2,Plate 1 x 2,Plates,1,2,0.33,ACTIVE,1,15,85
PLATE_1X4,Plate 1 x 4,Plates,1,4,0.33,ACTIVE,1,6,72
PLATE_1X6,Plate 1 x 6,Plates,1,6,0.33,ACTIVE,1,5,59
PLATE_1X1X2_3,Plate 1 x 1 x 2/3,Plates,1,1,2/3,ACTIVE,1,3,2
PLATE_1X8,Plate 1 x 8,Plates,1,8,0.33,ACTIVE,1,3,47
PLATE_4X8,Plate 4 x 8,Plates,4,8,0.33,ACTIVE,1,3,43
PLATE_6X8,Plate 6 x 8,Plates,6,8,0.33,ACTIVE,1,3,43
PLATE_2X8,Plate 2 x 8,Plates,2,8,0.33,ACTIVE,1,2,45
PLATE_4X10,Plate 4 x 10,Plates,4,10,0.33,ACTIVE,1,2,38
TILE_2X2,Tile 2 x 2,Tiles,2,2,0.33,ACTIVE,1,1291,60
TILE_2X4,Tile 2 x 4,Tiles,2,4,0.33,ACTIVE,1,546,46
TILE_1X2,Tile 1 x 2,Tiles,1,2,0.33,ACTIVE,1,478,79
